,filename,address
0,p1-l0_20250320-000509,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh"
1,p1-l10_20250320-000536,"
                    15B/105 Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh
                "
2,p1-l11_20250320-000536,"
                    Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh
                "
3,p1-l12_20250320-000509,"
                    Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh
                "
4,p1-l13_20250320-000536,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh"
5,p1-l14_20250320-000509,"Đường Huỳnh Khương Ninh, Phường Đa Kao, Quận 1, Hồ Chí Minh"
6,p1-l15_20250320-000536,"
                    Đường Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh
                "
7,p1-l16_20250320-000536,"Đường Số 10, Phường An Khánh, Quận 2, Hồ Chí Minh"
8,p1-l17_20250320-000536,"Đường Lê Văn Duyệt, Phường 3, Bình Thạnh, Hồ Chí Minh"
9,p1-l18_20250320-000536,"
                    Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh
                "
10,p1-l19_20250320-000509,"180/28/29, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
11,p1-l1_20250320-000536,"Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"
12,p1-l2_20250320-000536,"331, Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh"
13,p1-l3_20250320-000536,"Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
14,p1-l4_20250320-000536,"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh"
15,p1-l5_20250320-000536,"Đường  Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh"
16,p1-l6_20250320-000536,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh"
17,p1-l7_20250320-000536,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
18,p1-l8_20250320-000536,"
                    Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh
                "
19,p1-l9_20250320-000536,"
                    Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh
                "
20,p2-l0_20250320-000536,"Đường Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh"
21,p2-l10_20250320-000536,"
                    Đường Số 8, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh
                "
22,p2-l11_20250320-000536,"616, Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"
23,p2-l12_20250320-000536,"Đường Lê Đức Thọ, Phường 16, Gò Vấp, Hồ Chí Minh"
24,p2-l13_20250320-000536,"965, Đường Quang Trung, Phường 14, Gò Vấp, Hồ Chí Minh"
25,p2-l14_20250320-000536,"Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
26,p2-l15_20250320-000536,"Đường Đặng Văn Sâm, Phường 2, Tân Bình, Hồ Chí Minh"
27,p2-l16_20250320-000536,"Đường Phan Văn Sửu, Phường 13, Tân Bình, Hồ Chí Minh"
28,p2-l17_20250320-000536,"Đường An Bình, Phường 7, Quận 5, Hồ Chí Minh"
29,p2-l18_20250320-000536,"Đường 339, Phường Phước Long B, Quận 9, Hồ Chí Minh"
30,p2-l19_20250320-000536,"Đường Bùi Đình Túy, Phường 14, Bình Thạnh, Hồ Chí Minh"
31,p2-l1_20250320-011409,"
                    Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh
                "
32,p2-l2_20250320-011409,"
                    Đường Trần Văn Hoàng, Phường 9, Tân Bình, Hồ Chí Minh ko
                "
33,p2-l3_20250320-011409,"24 Đường Võ Văn Hát, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh"
