filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p1-l0_20250320-000509,"3,8 triệu",22m²,chung cư mini,quận 2,máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,gần chợ;gần các tiện ích như:gần cao ốc thịnh vượng,,
p1-l10_20250320-000536,"5,9 triệu",35m²,phòng trọ,q1,,không yêu cầu,,gần bệnh viện da liễu tp;gần gũi với nhịp sống sôi động của sài gòn,,
p1-l11_20250320-000536,", k",,,tô hiến thành,máy giặt;tủ lạnh,không yêu cầu,,,,
p1-l12_20250320-000509,"6,4 triệu",35m²,phòng trọ,bình thạnh,,không yêu cầu,,gần bệnh viện đa khoa gia định,1.0,1.0
p1-l13_20250320-000536,"4,9 triệu",30m²,phòng khép kín,quận 1,toilet riêng,không yêu cầu,,,1.0,1.0
p1-l14_20250320-000509,"5,5 triệu",35m²,phòng khép kín,q1,ban công,không yêu cầu,,gần công viên lê văn tám 1,1.0,1.0
p1-l15_20250320-000536,1 tr,,chung cư mini,bình thạnh,máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,,
p1-l16_20250320-000536,.k,,,quận 1,,không yêu cầu,,,,
p1-l17_20250320-000536,"4,9 triệu",30m²,phòng trọ,bình thạnh,,không yêu cầu,,gần bệnh viện thẩm mỹ thanh vân;gần nhiều tiện ích phục vụ cuộc sống hàng ngày,1.0,1.0
p1-l18_20250320-000536,"5,9 triệu",35m²,phòng trọ,bình thạnh,,không yêu cầu,,gần đó cũng giúp tiết kiệm thời gian mua sắm;gần nhiều tiện ích xung quanh;gần bệnh viện đa khoa quốc tế vinmec central park và công viên vinhomes tân cảng,1.0,
p1-l19_20250320-000509,"5,4 triệu",60m²,phòng trọ,bình thạnh,tủ lạnh,không yêu cầu,,gần bệnh viện thẩm mỹ thanh vân,1.0,1.0
p1-l1_20250320-000536,4tr,,,quận 10,,không yêu cầu,,,1.0,
p1-l2_20250320-000536,3tr,,phòng trọ,gò vấp,máy lạnh,không yêu cầu,,,,
p1-l3_20250320-000536,3tr,35m2,,,máy lạnh,không yêu cầu,,,,
p1-l4_20250320-000536,4k,6. m,phòng trọ,q1,wifi;máy lạnh;ban công,nữ,,gần nhà có cửa hàng tiện lợi,,
p1-l5_20250320-000536,5.2 triệu,25m²,,q3,,không yêu cầu,,gần đại học sư phạm,,
p1-l6_20250320-000536,", k",30m²,,quận 8,,không yêu cầu,,,,
p1-l7_20250320-000536,", k",30m²,,q2,máy lạnh;ban công,không yêu cầu,,,,
p1-l8_20250320-000536,4.5tr,30m²,chung cư mini,bình thạnh,,không yêu cầu,,gần phan văn trị;gần đại học văn lang;gần chợ,,
p1-l9_20250320-000536,", k",25m²,phòng trọ,q7,wifi,không yêu cầu,,,,
p2-l0_20250320-000536,3.5 tr,30m²,phòng trọ,hà nội,wifi;máy lạnh;ban công;máy giặt;tủ lạnh,không yêu cầu,,gần lã xuân oai trường fpt ufm hutech vinhomes;gần các trường fpt;gần vinhomes q9;gần công ty samsung,,
