,filename,address
0,p1-l11_20250404-155753,"Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh"
1,p135-l14_20250404-172843,"Đường Trần Thị Liền, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh"
2,p30-l2_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh"
3,p141-l7_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
4,p1-l15_20250404-155753,"Đường Lý Thường Kiệt, Phường 15, Quận 10, Tp Hồ Chí Minh"
5,p1-l1_20250404-155753,"thạnh xuân 22, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh"
6,p1-l20_20250404-155753,"232, Đường Võ Văn Kiệt, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh"
7,p1-l22_20250404-155753,"Đội Cung, Phường 10, Quận 11, Tp Hồ Chí Minh"
8,p1-l3_20250404-155753,"20, Đường Đông Hưng Thuận 42, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
9,p1-l9_20250404-155753,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh"
10,p10-l10_20250404-160139,"Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh"
11,p100-l10_20250404-160805,"Cầu Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh"
12,p100-l12_20250404-160805,"381, Đường An Dương Vương, Phường 3, Quận 5, Tp Hồ Chí Minh"
13,p100-l13_20250404-160805,"Đường 3 Tháng 2, Phường 14, Quận 10, Tp Hồ Chí Minh"
14,p100-l14_20250404-160805,"Đường Thành Thái, Phường 12, Quận 10, Tp Hồ Chí Minh"
15,p101-l10_20250404-160805,"Đường Võ Văn Kiệt, Phường 13, Quận 5, Tp Hồ Chí Minh"
16,p101-l11_20250404-160805,"623, Hẻm 623 Đường Cách Mạng Tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh"
17,p101-l15_20250404-160805,"359, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh"
18,p101-l16_20250404-160805,"Đường Hải Thượng Lãn Ông, Phường 13, Quận 5, Tp Hồ Chí Minh"
19,p101-l18_20250404-160805,"Đường Võ Văn Kiệt, Phường 13, Quận 5, Tp Hồ Chí Minh"
20,p101-l1_20250404-160805,"Đường Đoàn Văn Bơ, Phường 18, Quận 4, Tp Hồ Chí Minh"
21,p101-l6_20250404-160805,"Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh"
22,p102-l11_20250404-160805,"466, Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh"
23,p102-l14_20250404-160805,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh"
24,p102-l17_20250404-160805,"Đường Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh"
25,p102-l18_20250404-160805,"Đường Hồng Bàng, Phường 12, Quận 5, Tp Hồ Chí Minh"
26,p102-l19_20250404-160805,"359, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh"
27,p103-l12_20250404-160805,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh"
28,p103-l8_20250404-160805,"Lý Phục Man, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh"
29,p104-l14_20250404-160805,"Đường Trần Nhân Tôn, Phường 2, Quận 10, Tp Hồ Chí Minh"
30,p104-l18_20250404-160805,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh"
31,p104-l19_20250404-160805,"420/21, Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh"
32,p105-l0_20250404-160805,"Đường Hậu Giang, Phường 2, Quận 6, Tp Hồ Chí Minh"
33,p105-l11_20250404-160805,"Đường Thái Phiên, Phường 8, Quận 11, Tp Hồ Chí Minh"
34,p105-l16_20250404-160805,"Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh"
35,p105-l4_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh"
36,p106-l10_20250404-160805,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
37,p106-l13_20250404-160805,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh"
38,p106-l2_20250404-160805,"Cầu Nguyễn Văn Cừ, Phường 10, Quận 5, Tp Hồ Chí Minh"
39,p107-l1_20250404-160805,"Đường Hồng Bàng, Phường 1, Quận 11, Tp Hồ Chí Minh"
40,p107-l4_20250404-160805,"Đường Trần Thị Liền, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh"
41,p107-l6_20250404-160805,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh"
42,p107-l8_20250404-160805,"353/2/7, Hẻm 353 Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh"
43,p108-l12_20250404-160805,"Đường Kinh Dương Vương, Phường 12, Quận 6, Tp Hồ Chí Minh"
44,p108-l14_20250404-160805,"466, Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh"
45,p108-l6_20250404-160805,"Đường Hồng Bàng, Phường 14, Quận 5, Tp Hồ Chí Minh"
46,p109-l12_20250404-160805,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh"
47,p109-l19_20250404-160805,"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh"
48,p11-l17_20250404-160139,"Cách Mạng Tháng Tám, Phường 12, Quận 10, Tp Hồ Chí Minh"
49,p11-l18_20250404-160139,"Đường Cách Mạng Tháng 8, Phường 10, Quận 3, Tp Hồ Chí Minh"
50,p110-l10_20250404-160805,"Đường Hòa Bình, Phường 5, Quận 11, Tp Hồ Chí Minh"
