filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p1-l11_20250404-155753,. k,,,q5,máy giặt,không yêu cầu,,,,
p135-l14_20250404-172843,", k",,,,,không yêu cầu,,gần tdtu,,
p30-l2_20250404-160805,,,phòng trọ,,,không yêu cầu,,,,
p141-l7_20250404-172843,,,,quận 10,wifi,không yêu cầu,,gần đầm sen;gần luỹ bán bích,,
p1-l15_20250404-155753,4k,,,quận 10,wifi;máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,gần đh bách khoa ,,
p1-l1_20250404-155753,", k",25m²,chung cư mini,quận 12,wifi;toilet riêng;ban công;máy giặt,không yêu cầu,,gần chợ minh phát)   - chỉ 2 phút ra tới chợ minh phát giúp bạn luôn mua được thực phẩm tươi ngon;gần các cửa hàng tiện ích như bách hóa xanh,,
p1-l20_20250404-155753,1tr,,,q1,máy lạnh;máy giặt,không yêu cầu,,,,
p1-l22_20250404-155753,800k,,,quận 10,máy lạnh;máy giặt,không yêu cầu,,gần svđ phú thọ  ▫️bao điện nước,,
p1-l3_20250404-155753,2tr,,phòng trọ,q12,máy lạnh,không yêu cầu,,,,
p1-l9_20250404-155753,,,,quận 10,máy lạnh;ban công;máy giặt;tủ lạnh,không yêu cầu,,gần tô hiến thành ;gần đại học bách khoa ,,
p10-l10_20250404-160139,4.5tr,,phòng trọ,q7,,không yêu cầu,,,,
p100-l10_20250404-160805,,,,q8,,không yêu cầu,,,,
p100-l12_20250404-160805,5tr,25m2,phòng trọ,quận 1,máy lạnh;máy giặt;tủ lạnh,nữ,,gần trung tâm thành phố chỉ mất 2 phút để qua quận 1,,
p100-l13_20250404-160805,", tr",,chung cư mini,quận 10,máy giặt,không yêu cầu,,gần công viên hoàng văn thụ;gần bệnh viên thống nhất;gần sân bay tsn;gần siêu thị,,
p100-l14_20250404-160805,", k",,chung cư mini,quận 10,ban công,không yêu cầu,,,,
p101-l10_20250404-160805,", k",,,,,không yêu cầu,,,,
p101-l11_20250404-160805,", k",25m2,,,wifi;máy lạnh;ban công;máy giặt;tủ lạnh,nữ,,,,
p101-l15_20250404-160805,",tr",25m2,phòng trọ,quận 3,máy lạnh;tủ lạnh,không yêu cầu,,gần đ,,
p101-l16_20250404-160805,", k",,,,,không yêu cầu,,,,
p101-l18_20250404-160805,"3,8k",,,,,không yêu cầu,,,,
p101-l1_20250404-160805,3k,,,,máy lạnh,không yêu cầu,,,1.0,
p101-l6_20250404-160805,5tr,,,q5,,không yêu cầu,,,,
p102-l11_20250404-160805,", k",,,quận 3,wifi;máy giặt,không yêu cầu,,gần siêu thị coopmart;gần chợ nguyễn văn trỗi - gần đại học sư phạm =========== dịch vụ tiện ích: -bảo vệ 24/24 -bãi xe rộng -khu vực nội bộ camera khắp nơi -dịch vụ dọn vệ sinh,,
p102-l14_20250404-160805,,,,,,không yêu cầu,,,,
p102-l17_20250404-160805,4k,,,q6,,không yêu cầu,,,,
p102-l18_20250404-160805,", k",100m,,quận 11,,nữ,,gần bv chợ rẫy,,
p102-l19_20250404-160805,", tr",,,bình thạnh,máy lạnh;máy giặt,không yêu cầu,,gần nhà thờ vườn xoài,,
p103-l12_20250404-160805,", k",,,quận 10,ban công,không yêu cầu,,gần nhiều quán ăn;gần vạn hạnh mall,,
p103-l8_20250404-160805,", k",,,quận 7,máy lạnh,không yêu cầu,,,,
p104-l14_20250404-160805,4k,,,quận 10,,không yêu cầu,,gần đh ueh ;gần vòng xoay lý thái tổ ,,
p104-l18_20250404-160805,4tr,2m,,q8,,không yêu cầu,,gần cầu chữ y,,
p104-l19_20250404-160805,4tr,30 m,,quận 10,máy giặt;tủ lạnh,không yêu cầu,,gần @@khu chợ - mua sắm chợ phạm văn hai lotte mart tân bình co,,
p105-l0_20250404-160805,,,,,tủ lạnh,không yêu cầu,,,,
p105-l11_20250404-160805,,,,,,không yêu cầu,,,,
p105-l16_20250404-160805,", k",,chung cư mini,quận 1,ban công,không yêu cầu,,gần chợ bến thành,,
p105-l4_20250404-160805,", k",,,quận 7,,không yêu cầu,,gần các trường đại học;gần phú mỹ hưng,,
