filename,address,Tỉnh/Thành phố,Quận/Huyện,Phường/Xã,Tên đường,Số nhà,Ghi chú
p1-l0_20250320-000509,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Bình Trưng Đông,Nguyễn Duy Trinh,2,"Đường , Phường , Quận , Hồ Chí Minh"
p1-l10_20250320-000536,"
                    15B/105 Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận 1,Bến Nghé,Lê Thánh Tôn,15B/105,"Đường , Phường , , Hồ Chí Minh"
p1-l11_20250320-000536,"
                    Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận 10,13,Tô Hiến Thành,13,"Đường , Phường , , Hồ Chí Minh"
p1-l12_20250320-000509,"
                    Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận Bình Thạnh,13,Nơ Trang Long,13,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p1-l13_20250320-000536,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Đình Chiểu,1,"Đường , Phường , , Hồ Chí Minh"
p1-l14_20250320-000509,"Đường Huỳnh Khương Ninh, Phường Đa Kao, Quận 1, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Đa Kao,Huỳnh Khương Ninh,1,"Đường , Phường , , Hồ Chí Minh"
p1-l15_20250320-000536,"
                    Đường Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận Phú Nhuận,9,Nguyễn Kiệm,9,"Đường , Phường , Phú Nhuận, Hồ Chí Minh"
p1-l16_20250320-000536,"Đường Số 10, Phường An Khánh, Quận 2, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,An Khánh,Số 10,10,"Đường , Phường , Quận 2, Hồ Chí Minh"
p1-l17_20250320-000536,"Đường Lê Văn Duyệt, Phường 3, Bình Thạnh, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Bình Thạnh,3,Lê Văn Duyệt,3,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p1-l18_20250320-000536,"
                    Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận Bình Thạnh,25,Nguyễn Văn Thương,25,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p1-l19_20250320-000509,"180/28/29, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Bình Thạnh,22,Nguyễn Hữu Cảnh,180/28/29,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p1-l1_20250320-000536,"Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Tân Bình,hạm Phú Thứ,Phạm Phú Thứ,11,"Đường P, Phường , Tân Bình, Hồ Chí Minh"
p1-l2_20250320-000536,"331, Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Gò Vấp,han Huy Ích,Phan Huy Ích,331,"Đường P, Phường 12, Gò Vấp, Hồ Chí Minh"
p1-l3_20250320-000536,"Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 12,Tân Chánh Hiệp,Tô Ký,12,"Đường , Phường , , Hồ Chí Minh"
p1-l4_20250320-000536,"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,11,Cách Mạng Tháng Tám,11,"Đường , Phường , , Hồ Chí Minh"
p1-l5_20250320-000536,"Đường  Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,3,Nguyễn Thiện Thuật,3,"Đường , Phường , , Hồ Chí Minh"
p1-l6_20250320-000536,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 8,3,Âu Dương Lân,3,"Đường , Phường , , Hồ Chí Minh"
p1-l7_20250320-000536,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Bình Trưng Tây,Nguyễn Thị Định,2,"Đường , Phường , Quận , Hồ Chí Minh"
p1-l8_20250320-000536,"
                    Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận Bình Thạnh,13,Đặng Thùy Trâm,13,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p1-l9_20250320-000536,"
                    Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận 7,Tân Phong,Lê Văn Lương,7,"Đường , Phường , , Hồ Chí Minh"
p2-l0_20250320-000536,"Đường Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Long Trường,Võ Văn Hát,9,"Đường , Phường , Quận , Hồ Chí Minh"
p2-l10_20250320-000536,"
                    Đường Số 8, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Thành phố Thủ Đức,Tăng Nhơn Phú B,Số 8,8,"Đường , Phường , Quận 9, Hồ Chí Minh"
p2-l11_20250320-000536,"616, Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Gò Vấp,15,Lê Đức Thọ,616,"Đường , Phường , Gò Vấp, Hồ Chí Minh"
p2-l12_20250320-000536,"Đường Lê Đức Thọ, Phường 16, Gò Vấp, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Gò Vấp,16,Lê Đức Thọ,16,"Đường , Phường , Gò Vấp, Hồ Chí Minh"
p2-l13_20250320-000536,"965, Đường Quang Trung, Phường 14, Gò Vấp, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Gò Vấp,14,Quang Trung,965,"Đường , Phường , Gò Vấp, Hồ Chí Minh"
p2-l14_20250320-000536,"Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Tân Bình,han Huy Ích,Phan Huy Ích,15,"Đường P, Phường , Tân Bình, Hồ Chí Minh"
p2-l15_20250320-000536,"Đường Đặng Văn Sâm, Phường 2, Tân Bình, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Tân Bình,2,Đặng Văn Sâm,2,"Đường , Phường , Tân Bình, Hồ Chí Minh"
p2-l16_20250320-000536,"Đường Phan Văn Sửu, Phường 13, Tân Bình, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Tân Bình,han Văn Sửu,Phan Văn Sửu,13,"Đường P, Phường , Tân Bình, Hồ Chí Minh"
p2-l17_20250320-000536,"Đường An Bình, Phường 7, Quận 5, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,7,An Bình,7,"Đường , Phường , , Hồ Chí Minh"
p2-l18_20250320-000536,"Đường 339, Phường Phước Long B, Quận 9, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Phước Long B,339,339,"Đường , Phường , Quận 9, Hồ Chí Minh"
p2-l19_20250320-000536,"Đường Bùi Đình Túy, Phường 14, Bình Thạnh, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Bình Thạnh,14,Bùi Đình Túy,14,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p2-l1_20250320-011409,"
                    Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận Bình Thạnh,13,Bình Lợi,13,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p2-l2_20250320-011409,"
                    Đường Trần Văn Hoàng, Phường 9, Tân Bình, Hồ Chí Minh ko
                ",TP. Hồ Chí Minh,Quận Tân Bình,9,Trần Văn Hoàng,9,"Đường , Phường , Tân Bình, Hồ Chí Minh ko"
p2-l3_20250320-011409,"24 Đường Võ Văn Hát, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Tăng Nhơn Phú A,Võ Văn Hát,24,"Đường , Phường , Quận 9, Hồ Chí Minh"
p2-l4_20250320-011409,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Tân Bình,13,Cộng Hòa,13,"Đường , Phường , Tân Bình, Hồ Chí Minh"
p2-l5_20250320-011409,"
                    Đường Lê Hồng Phong, Phường 1, Quận 10, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận 10,hong,Lê Hồng Phong,1,"Đường Lê Hồng P, Phường , , Hồ Chí Minh"
p2-l6_20250320-011409,"Đường Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,An Khánh,Trần Não,2,"Đường , Phường , Quận , Hồ Chí Minh"
p2-l7_20250320-011409,"
                    Đường Số 8, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Thành phố Thủ Đức,Tăng Nhơn Phú B,Số 8,8,"Đường , Phường , Quận 9, Hồ Chí Minh"
p2-l8_20250320-011409,"
                    Đường Số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Thành phố Thủ Đức,Trường Thọ,Số 2,2,"Đường , Phường , Thủ Đức, Hồ Chí Minh"
p2-l9_20250320-011409,"Đường 182, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Tăng Nhơn Phú A,182,182,"Đường , Phường , Quận 9, Hồ Chí Minh"
p3-l0_20250320-011409,"
                    Đường 38, Phường Linh Đông, Thủ Đức, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Thành phố Thủ Đức,Linh Đông,38,38,"Đường , Phường , Thủ Đức, Hồ Chí Minh"
p3-l10_20250320-011409,"Đường 26, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Long Thạnh Mỹ,26,26,"Đường , Phường , Quận 9, Hồ Chí Minh"
p3-l11_20250320-011409,"Đường Bà Lê Chân, Phường Tân Định, Quận 1, Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Tân Định,Bà Lê Chân,1,"Đường , Phường , , Hồ Chí Minh"
p3-l12_20250320-011409,"Đường Mê Linh, Phường 19, Bình Thạnh, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Bình Thạnh,19,Mê Linh,19,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p3-l13_20250320-011409,"Đường Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh",TP. Hồ Chí Minh,Thành phố Thủ Đức,Long Trường,Võ Văn Hát,9,"Đường , Phường , Quận , Hồ Chí Minh"
p3-l14_20250320-011409,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Bình Thạnh,13,Bình Lợi,13,"Đường , Phường , Bình Thạnh, Hồ Chí Minh"
p3-l15_20250320-011409,"160/70, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh",TP. Hồ Chí Minh,Quận Tân Bình,han Huy Ích,Phan Huy Ích,160/70,"Đường P, Phường 15, Tân Bình, Hồ Chí Minh"
p3-l16_20250320-011409,"
                    1180, Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh
                ",TP. Hồ Chí Minh,Quận Gò Vấp,8,Quang Trung,1180,"110, Đường , Phường , Gò Vấp, Hồ Chí Minh"
