Unnamed: 0,filename,address,Tỉnh/Thành phố,Quận/Huyện,Phường/Xã,Tên đường,Số nhà,Ghi chú
0,p1-l11_20250404-155753,"Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,1,Cao Đạt,,"Đường , Phường , , Tp Hồ Chí Minh"
1,p135-l14_20250404-172843,"Đường Trần Thị Liền, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Huyện Nhà Bè,Phước Kiển,Trần Thị Liền,,"Đường , Xã P, , Tp Hồ Chí Minh"
2,p30-l2_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,Tân Thuận Đông,Huỳnh Tấn Phát,7,"Đường Huỳnh Tấn P, Phường Tân Thuận Đông, , Tp Hồ Chí Minh"
3,p141-l7_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Hòa Bình,3,"Đường , Phường , , Tp Hồ Chí Minh"
4,p1-l15_20250404-155753,"Đường Lý Thường Kiệt, Phường 15, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,15,Lý Thường Kiệt,,"Đường , Phường , , Tp Hồ Chí Minh"
5,p1-l1_20250404-155753,"thạnh xuân 22, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 12,Thạnh Xuân,,,"thạnh xuân , Phường , , Tp Hồ Chí Minh"
6,p1-l20_20250404-155753,"232, Đường Võ Văn Kiệt, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Cô Giang,Võ Văn Kiệt,232,"Đường , Phường , , Tp Hồ Chí Minh"
7,p1-l22_20250404-155753,"Đội Cung, Phường 10, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,10,Đội Cung,10,"Đội Cung, Phường , , Tp Hồ Chí Minh"
8,p1-l3_20250404-155753,"20, Đường Đông Hưng Thuận 42, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 12,Tân Hưng Thuận,Đông Hưng Thuận 42,20,"Đường , Phường , , Tp Hồ Chí Minh"
9,p1-l9_20250404-155753,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,14,Lý Thường Kiệt,14,"Đường , Phường , , Tp Hồ Chí Minh"
10,p10-l10_20250404-160139,"Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,hát,,7,"Huỳnh Tấn P, Phường Tân Phú, , Tp Hồ Chí Minh"
11,p100-l10_20250404-160805,"Cầu Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,1,,1,"Cầu Nguyễn Văn Cừ, Phường , , Tp Hồ Chí Minh"
12,p100-l12_20250404-160805,"381, Đường An Dương Vương, Phường 3, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,3,An Dương Vương,381,"81, Đường , Phường , , Tp Hồ Chí Minh"
13,p100-l13_20250404-160805,"Đường 3 Tháng 2, Phường 14, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,14,3 Tháng 2,3,"Đường , Phường , , Tp Hồ Chí Minh"
14,p100-l14_20250404-160805,"Đường Thành Thái, Phường 12, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,12,Thành Thái,12,"Đường , Phường , , Tp Hồ Chí Minh"
15,p101-l10_20250404-160805,"Đường Võ Văn Kiệt, Phường 13, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,13,Võ Văn Kiệt,13,"Đường , Phường , , Tp Hồ Chí Minh"
16,p101-l11_20250404-160805,"623, Hẻm 623 Đường Cách Mạng Tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,15,Cách Mạng Tháng 8,623,"Hẻm  Đường , Phường , , Tp Hồ Chí Minh"
17,p101-l15_20250404-160805,"359, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,12,Lê Văn Sỹ,359,"Đường , Phường , , Tp Hồ Chí Minh"
18,p101-l16_20250404-160805,"Đường Hải Thượng Lãn Ông, Phường 13, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,13,Hải Thượng Lãn Ông,13,"Đường , Phường , , Tp Hồ Chí Minh"
19,p101-l18_20250404-160805,"Đường Võ Văn Kiệt, Phường 13, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,13,Võ Văn Kiệt,13,"Đường , Phường , , Tp Hồ Chí Minh"
20,p101-l1_20250404-160805,"Đường Đoàn Văn Bơ, Phường 18, Quận 4, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 4,18,Đoàn Văn Bơ,18,"Đường , Phường , , Tp Hồ Chí Minh"
21,p101-l6_20250404-160805,"Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,2,Trần Hưng Đạo,2,"Đường , Phường , , Tp Hồ Chí Minh"
22,p102-l11_20250404-160805,"466, Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,14,Lê Văn Sỹ,466,"Đường , Phường , , Tp Hồ Chí Minh"
23,p102-l14_20250404-160805,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Huyện Nhà Bè,hát,Huỳnh Tấn Phát,,"Đường Huỳnh Tấn P, Thị trấn Nhà Bè, , Tp Hồ Chí Minh"
24,p102-l17_20250404-160805,"Đường Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,11,Nguyễn Văn Luông,11,"Đường , Phường , , Tp Hồ Chí Minh"
25,p102-l18_20250404-160805,"Đường Hồng Bàng, Phường 12, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,12,Hồng Bàng,12,"Đường , Phường , , Tp Hồ Chí Minh"
26,p102-l19_20250404-160805,"359, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,12,Lê Văn Sỹ,359,"Đường , Phường , , Tp Hồ Chí Minh"
27,p103-l12_20250404-160805,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,12,Sư Vạn Hạnh,12,"Đường , Phường , , Tp Hồ Chí Minh"
28,p103-l8_20250404-160805,"Lý Phục Man, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,hục Man,,7,"Lý P, Phường Bình Thuận, , Tp Hồ Chí Minh"
29,p104-l14_20250404-160805,"Đường Trần Nhân Tôn, Phường 2, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,2,Trần Nhân Tôn,2,"Đường , Phường , , Tp Hồ Chí Minh"
30,p104-l18_20250404-160805,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,1,Nguyễn Văn Cừ,1,"Đường , Phường , , Tp Hồ Chí Minh"
31,p104-l19_20250404-160805,"420/21, Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,14,Lê Văn Sỹ,420/21,"Đường , Phường , , Tp Hồ Chí Minh"
32,p105-l0_20250404-160805,"Đường Hậu Giang, Phường 2, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,2,Hậu Giang,2,"Đường , Phường , , Tp Hồ Chí Minh"
33,p105-l11_20250404-160805,"Đường Thái Phiên, Phường 8, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,hiên,Thái Phiên,8,"Đường Thái P, Phường , , Tp Hồ Chí Minh"
34,p105-l16_20250404-160805,"Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Bến Thành,Lê Thánh Tôn,1,"Đường , Phường , , Tp Hồ Chí Minh"
35,p105-l4_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,hát,Huỳnh Tấn Phát,7,"Đường Huỳnh Tấn P, Phường Phú Thuận, , Tp Hồ Chí Minh"
36,p106-l10_20250404-160805,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Hòa Bình,3,"Đường , Phường , , Tp Hồ Chí Minh"
37,p106-l13_20250404-160805,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,14,Lý Thường Kiệt,14,"Đường , Phường , , Tp Hồ Chí Minh"
38,p106-l2_20250404-160805,"Cầu Nguyễn Văn Cừ, Phường 10, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,10,,10,"Cầu Nguyễn Văn Cừ, Phường , , Tp Hồ Chí Minh"
39,p107-l1_20250404-160805,"Đường Hồng Bàng, Phường 1, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,1,Hồng Bàng,1,"Đường , Phường , , Tp Hồ Chí Minh"
40,p107-l4_20250404-160805,"Đường Trần Thị Liền, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Huyện Nhà Bè,hước Kiển,Trần Thị Liền,,"Đường , Xã P, , Tp Hồ Chí Minh"
41,p107-l6_20250404-160805,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,12,Lê Văn Sỹ,12,"Đường , Phường , , Tp Hồ Chí Minh"
42,p107-l8_20250404-160805,"353/2/7, Hẻm 353 Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,hạm Ngũ Lão,Phạm Ngũ Lão,353/2/7,"Hẻm 353 Đường P, Phường P, , Tp Hồ Chí Minh"
43,p108-l12_20250404-160805,"Đường Kinh Dương Vương, Phường 12, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,12,Kinh Dương Vương,12,"Đường , Phường , , Tp Hồ Chí Minh"
