Unnamed: 0,filename,address,Tỉnh/Thành phố,Quận/Huyện,Phường/Xã,Tên đường,Số nhà,Ghi chú
0,p48-l3_20250321-091109,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 7,hòng trọ tại Phường Tân Thuận Đông,,7,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
1,p1-l0_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Huyện Bình Chánh,hòng trọ tại Xã Bình Hưng,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
2,p1-l10_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 11, Quận 5, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 5,hòng trọ tại Phường 11,,11,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
3,p1-l11_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 7, Quận Phú Nhuận, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Phú Nhuận,hòng trọ tại Phường 7,,7,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
4,p1-l12_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Thạnh Lộc, Quận 12, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 12,hòng trọ tại Phường Thạnh Lộc,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
5,p1-l13_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 12, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 12,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
6,p1-l14_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 6, Quận 10, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 10,hòng trọ tại Phường 6,,6,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
7,p1-l1_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 12,hòng trọ tại Phường Trung Mỹ Tây,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
8,p1-l2_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Tân Quy, Quận 7, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 7,hòng trọ tại Phường Tân Quy,,7,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
9,p1-l3_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 14, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 14,,14,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
10,p1-l4_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Trường Thọ, Thành phố Thủ Đức, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Thành phố Thủ Đức,hòng trọ tại Phường Trường Thọ,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
11,p1-l5_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 1, Quận Gò Vấp, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Gò Vấp,hòng trọ tại Phường 1,,1,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
12,p1-l6_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Bình Hưng Hoà B, Quận Bình Tân, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Bình Tân,hòng trọ tại Phường Bình Hưng Hoà B,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
13,p1-l7_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 11, Quận Bình Thạnh, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Bình Thạnh,hòng trọ tại Phường 11,,11,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
14,p1-l8_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 10, Quận 10, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 10,hòng trọ tại Phường 10,,10,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
15,p1-l9_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Phú,hòng trọ tại Phường Hiệp Tân,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
16,p10-l0_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Phú Thuận, Quận 7, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 7,hòng trọ tại Phường Phú Thuận,,7,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
17,p10-l10_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Phú Hữu, Thành phố Thủ Đức, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Thành phố Thủ Đức,hòng trọ tại Phường Phú Hữu,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
18,p10-l11_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 14, Quận 10, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 10,hòng trọ tại Phường 14,,14,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
19,p10-l12_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường An Phú Đông, Quận 12, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 12,hòng trọ tại Phường An Phú Đông,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
20,p10-l13_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Thành phố Thủ Đức,hòng trọ tại Phường Hiệp Bình Phước,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
21,p10-l14_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 12, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 12,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
22,p10-l1_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 14, Quận 5, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 5,hòng trọ tại Phường 14,,14,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
23,p10-l2_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Phú,hòng trọ tại Phường Tân Thành,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
24,p10-l3_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 4, Quận Gò Vấp, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Gò Vấp,hòng trọ tại Phường 4,,4,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
25,p10-l4_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Phú,hòng trọ tại Phường Tân Quý,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
26,p10-l5_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 11, Quận Gò Vấp, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Gò Vấp,hòng trọ tại Phường 11,,11,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
27,p10-l6_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 4, Quận 3, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 3,hòng trọ tại Phường 4,,4,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
28,p10-l7_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Phú Thuận, Quận 7, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 7,hòng trọ tại Phường Phú Thuận,,7,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
29,p10-l8_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 12, Quận Gò Vấp, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Gò Vấp,hòng trọ tại Phường 12,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
30,p10-l9_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 14, Quận Gò Vấp, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Gò Vấp,hòng trọ tại Phường 14,,14,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
31,p11-l0_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 3, Quận Bình Thạnh, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Bình Thạnh,hòng trọ tại Phường 3,,3,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
32,p11-l10_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 8, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 8,,8,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
33,p11-l11_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 12, Quận Bình Thạnh, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Bình Thạnh,hòng trọ tại Phường 12,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
34,p11-l12_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Phú,hòng trọ tại Phường Sơn Kỳ,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
35,p11-l13_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 2, Quận 8, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 8,hòng trọ tại Phường 2,,2,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
36,p11-l14_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Thành phố Thủ Đức,hòng trọ tại Phường Phước Long B,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
37,p11-l1_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 14, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 14,,14,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
38,p11-l2_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 2, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 2,,2,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
39,p11-l3_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 15, Quận 10, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 10,hòng trọ tại Phường 15,,15,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
40,p11-l4_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 16, Quận Gò Vấp, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Gò Vấp,hòng trọ tại Phường 16,,16,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
41,p11-l5_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 2, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 2,,2,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
42,p11-l6_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 17, Quận Phú Nhuận, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Phú Nhuận,hòng trọ tại Phường 17,,17,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
43,p11-l7_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 24, Quận Bình Thạnh, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Bình Thạnh,hòng trọ tại Phường 24,,24,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
44,p11-l8_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Phú,hòng trọ tại Phường Tân Sơn Nhì,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
45,p11-l9_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 13, Quận 10, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 10,hòng trọ tại Phường 13,,13,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
46,p12-l0_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Phú,hòng trọ tại Phường Sơn Kỳ,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
47,p12-l10_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Bình Tân,hòng trọ tại Phường Bình Trị Đông,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
48,p12-l11_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Bình Trưng Tây, Thành phố Thủ Đức, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Thành phố Thủ Đức,hòng trọ tại Phường Bình Trưng Tây,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
49,p12-l12_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Phú,hòng trọ tại Phường Sơn Kỳ,,,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
50,p12-l13_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 11, Quận 6, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận 6,hòng trọ tại Phường 11,,11,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
51,p12-l14_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 13, Quận Tân Bình, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Tân Bình,hòng trọ tại Phường 13,,13,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
52,p12-l1_20250320-172724,"
Cho Thuê  Nhà trọ, phòng trọ tại Phường 12, Quận Gò Vấp, Hồ Chí Minh
        ",TP. Hồ Chí Minh,Quận Gò Vấp,hòng trọ tại Phường 12,,12,"Cho Thuê Nhà trọ, p, , Hồ Chí Minh"
