filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p48-l3_20250321-091109,,200m,,quận 7,máy lạnh,không yêu cầu,,gần trường đại học tđt,,
p1-l0_20250320-172724,"6,6 triệu",50m²,chung cư mini,quận 1,ban công,không yêu cầu,,gần trường học;gần đại học quốc tế rmit,,
p1-l10_20250320-172724,"2, k",30m2,phòng trọ,quận 5,,không yêu cầu,,,,
p1-l11_20250320-172724,52 tr,30m2,phòng trọ,,wifi,không yêu cầu,,,,
p1-l12_20250320-172724,", tr",30 m²,,quận 12,máy lạnh;chỗ để xe,không yêu cầu,,gần chợ,,
p1-l13_20250320-172724,", k",30m2,chung cư mini,,,không yêu cầu,,gần chợ hoàng hoa thám,,
p1-l14_20250320-172724,", k",30 m2,phòng trọ,quận 10,,không yêu cầu,,gần các tiện ích như chợ,,
p1-l1_20250320-172724,2tr,,phòng trọ,,,không yêu cầu,,gần chợ,,
p1-l2_20250320-172724,,30 m2,phòng trọ,quận 7,ban công,không yêu cầu,,gần lottemart giúp bạn dễ dàng di chuyển vào trung tâm thành phố và các quận lân cận như quận 1,,
p1-l3_20250320-172724,,4.5m,phòng trọ,,ban công;máy giặt,không yêu cầu,,,,
p1-l4_20250320-172724,,22m2,phòng khép kín,,máy lạnh;ban công,không yêu cầu,,gần các trục đường chính,,
p1-l5_20250320-172724,. k,35 m2,,gò vấp,wifi;máy lạnh,không yêu cầu,,,,
p1-l6_20250320-172724,,12 m2,phòng trọ,tp.hcm,,không yêu cầu,,gần chợ và trường học,,
p1-l7_20250320-172724,"2, k",32m2,phòng trọ,bình thạnh,,không yêu cầu,,gần học viện cán bộ và chu văn an,,
p1-l8_20250320-172724,"4,9 triệu",18m2,phòng trọ,quận 10,wifi;máy lạnh;máy giặt,không yêu cầu,,gần kề khác như vạn hạnh mall cách 1km;gần chợ,,
p1-l9_20250320-172724,,28 m2,chung cư mini,quận 11,,không yêu cầu,,gần đầm sen;gần các trường đại học như văn hiến,,
p10-l0_20250320-172724,", k",,,q7,,không yêu cầu,,gần lotte mart q7,,
p10-l10_20250320-172724,"3,5k",20m2,chung cư mini,quận 9,wifi,không yêu cầu,,gần khu công nghệ cao quận 9 và chung cư ricca + chi phí điện 3,,
p10-l11_20250320-172724,3 triệu,12 m²,phòng trọ,quận 10,wifi;máy lạnh;chỗ để xe,không yêu cầu,,gần siêu thị,,
p10-l12_20250320-172724,"2, tr",20 m2,phòng trọ,quận 12,wifi;máy lạnh;ban công,không yêu cầu,,,,
p10-l13_20250320-172724,3.5k,15 m2,phòng trọ,,wifi;máy giặt,không yêu cầu,,gần vạn phúc city,,
p10-l14_20250320-172724,,25m2,phòng trọ,,gác lửng,không yêu cầu,,gần lotte cộng hòa và đại học văn hiến,,
p10-l1_20250320-172724,,,,,máy giặt,không yêu cầu,,gần trung tâm,,
p10-l2_20250320-172724,3.8tr,30m2,phòng khép kín,,wifi;máy lạnh;toilet riêng;máy giặt;tủ lạnh,không yêu cầu,,gần trung tâm quận tân phú;gần đại học văn hiến và đại học công thương,,1.0
p10-l3_20250320-172724,", k",22m2,phòng trọ,gò vấp,,không yêu cầu,,gần các trường đại học công nghiệp iuh và vlu,,
p10-l4_20250320-172724,"2, k",25 m2,phòng trọ,,máy lạnh;ban công,không yêu cầu,,,,
p10-l5_20250320-172724,"4,7tr",20m2,chung cư mini,gò vấp,máy giặt;tủ lạnh,không yêu cầu,,,1.0,1.0
