id,text
p1-l0_20250320-000509,"{""id"": ""p1-l0_20250320-000509"", ""address"": ""Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh"", ""area"": 22.0, ""price"": 3.8, ""describe"": ""\n                Phòng cho thuê tại Quận 2, Hồ Chí Minh, DT 22m², giá chỉ 3,8 triệu VND mỗi tháng. Căn hộ đầy đủ nội thất mang lại sự thoải mái và tiện lợi cho cuộc sống hàng ngày.Thời gian cho thuê linh hoạt, tối thiểu 6 tháng, phù hợp với nhu cầu của nhiều đối tượng khách hàng.+ Nội thất đầy đủ: Máy lạnh, giường, tủ lạnh(máy giặt, máy sấy chung)máy nước nóng, máy lọc nước uống, tủ bếp, kệ bếp, tủ quần áo..Gần các tiện ích như:Gần cao ốc thịnh vượng, homyland, gs 25, family mart, bách hoá xanh..Khu vực an ninh, dân trí cao.Giờ giấc tự do, không chung chủ.Gần chợ, siêu thị, bệnh viện lê văn thịnh.Dễ dàng di chuyển qua các quận 1,7,9, bình thạnh.Phòng mới xây.Nội thất mới 100%.Điện 3,5k.Nước 70k/người.Chính chủ cho thuê không qua môi giới.Liên hệ ngay để biết thêm chi tiết và đặt lịch xem nhà qua 0367 297 *** - Kim Tuế.\n            ""}"
p1-l10_20250320-000536,"{""id"": ""p1-l10_20250320-000536"", ""address"": ""15B/105 Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh"", ""area"": 35.0, ""price"": 5.9, ""describe"": ""\n                    Phòng trọ nằm ở 15B/105 Lê Thánh Tôn, P Bến Nghé, Q1, HCM, rộng 35m², rất thoải mái và tiện nghi.Nội thất full, bao gồm giường, tủ, bàn ghế.Giá chỉ 5,9 triệu VND, cực kỳ hợp lý cho một căn phòng trong trung tâm thành phố.Một tầng duy nhất, không cầu thang phiền phức.Thích hợp cho những ai muốn sống gần gũi với nhịp sống sôi động của Sài Gòn.Địa điểm tiện ích xung quanh:Gần bệnh viện da liễu TP. HCM và bệnh viện nhi đồng 2, rất tiện cho những ai cần chăm sóc sức khỏe.WinMart Đồng Khởi và WinMart + để mua sắm hàng ngày.Không xa các trường THPT nổi tiếng như Trần Đại Nghĩa, Lê Quý Đôn và Marie Curie.Công viên bờ sông và công viên Chi Lăng để thư giãn và tập thể dục.Liên hệ ngay để biết thêm chi tiết: Anna, 0989 785 ***.\n                ""}"
p1-l11_20250320-000536,"{""id"": ""p1-l11_20250320-000536"", ""address"": ""Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh"", ""area"": 40.0, ""price"": 7.0, ""describe"": ""\n                    Tô Hiến Thành, P13, Q10.- Kết cấu toà nhà: 3 tầng - 7 phòng - Thang bộ.- Danh mục nội thất: Giường, nệm, tủ đồ, tủ lạnh, kệ bếp, tủ bếp, máy giặt riêng, sofa (theo nhu cầu), máy nóng lạnh.- Các loại phí:Điện: 4k/Kwh.Nước: 100k/Người.Dịch vụ: 150k/Phòng.Xe: 100k.- Quy định số lượng người, số lượng xe: 4 người, 4 xe.- Cho nuôi thú cưng hay không: Hạn chế.- Khu vực giặt phơi: Không.Chính sách cọc và thanh toán tiền nhà.+ Cọc 1 tháng.\n                ""}"
p1-l12_20250320-000509,"{""id"": ""p1-l12_20250320-000509"", ""address"": ""Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh"", ""area"": 35.0, ""price"": 6.4, ""describe"": ""\n                    Tìm chỗ ở chill thì không thể bỏ qua phòng trọ này! Nằm ở Nơ Trang Long, p13, Q. Bình Thạnh, TP. HCM, chỗ này cực kỳ dễ chịu với diện tích 35m². Phòng có 1PN và 1WC, nội thất cơ bản, phù hợp cho những ai thích đơn giản mà vẫn thoải mái. Giá cho thuê chỉ 6,4 triệu/tháng, quá hời cho một không gian riêng tư và tiện nghi!+ Nội thất cơ bản với một số món như giường, tủ, bàn ghế.+ Không gian thoáng đãng, yên tĩnh, phù hợp để học tập và làm việc.Tiện ích xung quanh.+ Gần bệnh viện Đa khoa Gia Định, trạm y tế phường 13.+ Siêu thị Luxy - Bình Thạnh, Bách Hóa Xanh 138 Nguyễn Xí.+ Công viên 69/4 Đặng Thùy Trâm, nơi thư giãn lý tưởng.+ Trường tiểu học Trần Quang Vinh, Saigon Academy International School, thuận tiện cho việc học.Liên hệ ngay để biết thêm chi tiết 0989 785 ***.\n                ""}"
p1-l13_20250320-000536,"{""id"": ""p1-l13_20250320-000536"", ""address"": ""Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh"", ""area"": 30.0, ""price"": 4.9, ""describe"": ""\n                Nhanh tay sở hữu phòng trọ lý tưởng tại Nguyễn Đình Chiểu, Đa Kao, Quận 1, Hồ Chí Minh. Phòng trọ 1PN với diện tích 30m², rất thích hợp cho những ai tìm kiếm không gian sống tiện nghi, thoải mái.Liên hệ ngay Anna qua số 0989 785 ***.+ Giá thuê: 4,9 triệu VND/tháng.+ Diện tích: 30m².+ 1 phòng ngủ và 1 toilet riêng biệt.+ Không gian sạch sẽ, thoáng mát, đầy đủ tiện nghi.Phòng trọ này không chỉ đáp ứng nhu cầu sinh hoạt hàng ngày mà còn mang đến sự riêng tư và yên tĩnh cho cư dân. Với thiết kế thông minh, không gian được tối ưu hóa để tạo cảm giác rộng rãi.- Địa điểm tiện ích xung quanh:+ Bệnh viện Da Liễu TP. HCM, Bệnh viện Tai Mũi Họng TP. HCM, Bệnh viện Nhi Đồng 2.+ Siêu thị Winmart + , Siêu thị Bon Grocer, Siêu thị Mẹ Bầu & Em Bé Con Cưng.+ Công viên Tao Đàn, Công viên Chi Lăng, Công viên 30/4.+ Trường THPT Lê Quý Đôn, Trường THPT Marie Curie, Trường THPT Chuyên Trần Đại Nghĩa.Để được tư vấn miễn phí và biết thêm chi tiết, liên hệ ngay Anna qua số 0989 785 ***.\n            ""}"
p1-l14_20250320-000509,"{""id"": ""p1-l14_20250320-000509"", ""address"": ""Đường Huỳnh Khương Ninh, Phường Đa Kao, Quận 1, Hồ Chí Minh"", ""area"": 35.0, ""price"": 5.5, ""describe"": ""\n                Phòng trọ 1PN tại Đường Huỳnh Khương Ninh, P Đa Kao, Q1, HCM cực xịn xò cho thuê. Diện tích 35m², giá chỉ 5,5 triệu VND.Liên hệ ngay để xem phòng: Anna 0989 785 ***.- Không gian thoáng mát, sạch sẽ, đầy đủ tiện nghi.- 1WC riêng biệt, tiện lợi.- Phù hợp cho người đi làm hoặc sinh viên.Cách trường THPT Lê Quý Đôn 2km, cách Winmart + 1,5km, gần công viên Lê Văn Tám 1,8km.Phòng ban công 8600k.Phòng duplex 5500k.Liên hệ ngay để xem phòng: Anna 0989 785 ***.\n            ""}"
p1-l15_20250320-000536,"{""id"": ""p1-l15_20250320-000536"", ""address"": ""Đường Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh"", ""area"": 30.0, ""price"": 5.7, ""describe"": ""\n                    Vị trí: Nguyễn Kiệm - Bạch Đằng - Hoàng Minh Giám - Hồ Văn Huê - Phạm Văn Đồng...Thuận tiện di chuyển các quận Bình Thạnh, Phú Nhuận, Tân Bình.Toà thang máy, 1 trệt 1 lửng 5 tầng, khoá vân tay, hầm xe, camera bảo vệ an ninh 24/7.Nội thất: Máy lạnh, Tủ lạnh, Drap ga gối nệm, Tủ quần áo, Bếp điện từ, Máy hút mùi, Nóng lạnh NLMT, Kệ tủ bếp, Máy giặt riêng.Chính sách & quy định chung:- Điện: 3.800/kW.- Nước lạnh: 20.000/m3.- Nước nóng: 22.000/m3.Bạn đang cần tìm thuê căn hộ mini - căn hộ dịch vụ - căn hộ chung cư cao cấp.Hãy để chúng tôi giải quyết nhu cầu của bạn một cách nhanh gọn và chuyên nghiệp nhất.---------------------------Hệ thống mình còn rất nhiều phòng đẹp - giá ưu đãi toạ lạc trên địa bàn TPHCM.Liên hệ SĐT hoặc Zalo để được tư vấn và hỗ trợ xem phòng 24/7.\n                ""}"
p1-l16_20250320-000536,"{""id"": ""p1-l16_20250320-000536"", ""address"": ""Đường Số 10, Phường An Khánh, Quận 2, Hồ Chí Minh"", ""area"": 20.0, ""price"": 6.0, ""describe"": ""\n                Studio full nội thất, thiết kế hiện đại.Đặc điểm.Thiết kế hiện đại.Nội thất mới hoàn toàn.Cửa sổ đón sáng.Không gian rộng sinh hoạt.Thuận tiện qua quận 1, bình thạnh.Liên hệ 0369 858 *** Yến Phương tư vấn và xem phòng trực tiếp.\n            ""}"
p1-l17_20250320-000536,"{""id"": ""p1-l17_20250320-000536"", ""address"": ""Đường Lê Văn Duyệt, Phường 3, Bình Thạnh, Hồ Chí Minh"", ""area"": 30.0, ""price"": 4.9, ""describe"": ""\n                Chill ngay phòng trọ bao đẹp tại Phường 3, Bình Thạnh! Phòng 1PN, 1WC, full nội thất xịn sò, với diện tích 30m². Giá thuê chỉ 4,9 triệu VND/tháng, rất hợp lý cho các bạn trẻ đang tìm kiếm nơi ở thoải mái mà vẫn tiện lợi.Liên hệ ngay với Anna qua số 0989 785 *** để biết thêm chi tiết!- Phòng trọ này cho thuê dài hạn từ 1 năm trở lên, cực kỳ thoải mái cho lối sống năng động.- Địa điểm siêu thuận lợi, gần nhiều tiện ích phục vụ cuộc sống hàng ngày.+ Cách trường học tầm 1km, dễ dàng cho việc đi học.+ Cách siêu thị WinMart + chỉ 1km, tiện lợi cho việc mua sắm.+ Gần bệnh viện thẩm mỹ Thanh Vân, trong trường hợp cần chăm sóc sức khỏe.Giá tốt giảm sâu lên đến 1,5 triệu cho hợp đồng dài hạn trên 1 năm.Đừng bỏ lỡ cơ hội này, liên hệ ngay với Anna qua số 0989 785 *** để biết thêm chi tiết!\n            ""}"
p1-l18_20250320-000536,"{""id"": ""p1-l18_20250320-000536"", ""address"": ""Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh"", ""area"": 35.0, ""price"": 5.9, ""describe"": ""\n                    Phòng trọ 1PN siêu xịn tại Nguyễn Văn Thương, P 25, Bình Thạnh, HCM. Diện tích 35m², giá chỉ 5,9 triệu.Liên hệ ngay để biết thêm chi tiết: - 0989 785 ***.Phòng full tiện nghi, phù hợp cho những ai thích không gian thoải mái, riêng tư. Không cần lo lắng về chi phí, ở đây cực kỳ tiết kiệm mà vẫn đầy đủ mọi thứ cho cuộc sống hàng ngày.Với giá thuê này, không chỉ có phòng đẹp mà còn gần nhiều tiện ích xung quanh, giúp cuộc sống dễ dàng hơn. Nếu thích sự tiện lợi, phòng này là lựa chọn không thể bỏ qua.Gần bệnh viện đa khoa quốc tế Vinmec Central Park và công viên Vinhomes Tân Cảng, nơi thư giãn và chăm sóc sức khỏe. Siêu thị Bách Hóa Xanh gần đó cũng giúp tiết kiệm thời gian mua sắm.Liên hệ ngay để biết thêm chi tiết: - 0989 785 ***.\n                ""}"
